state,district,population
Selangor,Kuala Selangor,145.0
Selangor,Kuala Selangor,11.9
Selangor,Kuala Selangor,11.8
Selangor,Kuala Selangor,10.7
Selangor,Kuala Selangor,10.4
Selangor,Kuala Selangor,11.0
Selangor,Kuala Selangor,10.1
Selangor,Kuala Selangor,12.5
Selangor,Kuala Selangor,15.1
Selangor,Kuala Selangor,12.6
Selangor,Kuala Selangor,9.0
Selangor,Kuala Selangor,7.7
Selangor,Kuala Selangor,6.3
Selangor,Kuala Selangor,5.1
Selangor,Kuala Selangor,4.1
Selangor,Kuala Selangor,3.3
Selangor,Kuala Selangor,2.1
Selangor,Kuala Selangor,0.8
Selangor,Kuala Selangor,0.5
Selangor,Petaling,2360.0
Selangor,Petaling,140.1
Selangor,Petaling,166.3
Selangor,Petaling,157.3
Selangor,Petaling,157.9
Selangor,Petaling,195.7
Selangor,Petaling,194.0
Selangor,Petaling,204.8
Selangor,Petaling,234.1
Selangor,Petaling,209.0
Selangor,Petaling,156.0
Selangor,Petaling,135.7
Selangor,Petaling,112.8
Selangor,Petaling,93.8
Selangor,Petaling,77.1
Selangor,Petaling,59.2
Selangor,Petaling,38.3
Selangor,Petaling,16.0
Selangor,Petaling,11.9
Selangor,Petaling,1254.1
Selangor,Petaling,72.1
Selangor,Petaling,84.3
Selangor,Petaling,81.5
Selangor,Petaling,81.7
Selangor,Petaling,113.1
Selangor,Petaling,115.4
Selangor,Petaling,112.8
Selangor,Petaling,121.5
Selangor,Petaling,108.9
Selangor,Petaling,83.6
Selangor,Petaling,71.3
Selangor,Petaling,58.6
Selangor,Petaling,49.2
Selangor,Petaling,39.2
Selangor,Petaling,29.2
Selangor,Petaling,17.2
Selangor,Petaling,7.6
Selangor,Petaling,6.9
Selangor,Petaling,1105.9
Selangor,Petaling,68.0
Selangor,Petaling,81.9
Selangor,Petaling,75.8
Selangor,Petaling,76.2
Selangor,Petaling,82.6
Selangor,Petaling,78.6
Selangor,Petaling,92.0
Selangor,Petaling,112.6
Selangor,Petaling,100.1
Selangor,Petaling,72.4
Selangor,Petaling,64.4
Selangor,Petaling,54.2
Selangor,Petaling,44.6
Selangor,Petaling,37.9
Selangor,Petaling,30.0
Selangor,Petaling,21.1
Selangor,Petaling,8.4
Selangor,Petaling,5.0
Selangor,Sabak Bernam,110.3
Selangor,Sabak Bernam,9.7
Selangor,Sabak Bernam,8.9
Selangor,Sabak Bernam,8.3
Selangor,Sabak Bernam,8.0
Selangor,Sabak Bernam,8.8
Selangor,Sabak Bernam,8.3
Selangor,Sabak Bernam,9.2
Selangor,Sabak Bernam,10.9
Selangor,Sabak Bernam,9.5
Selangor,Sabak Bernam,7.1
Selangor,Sabak Bernam,5.9
Selangor,Sabak Bernam,4.6
Selangor,Sabak Bernam,3.8
Selangor,Sabak Bernam,2.9
Selangor,Sabak Bernam,2.4
Selangor,Sabak Bernam,1.4
