date,rail_mrt_kajang,rail_mrt_pjy,rail_lrt_kj,rail_lrt_ampang,rail_monorail,bus_rkl
2025-01-14,276017,170908.0,288133,209381,58722,235810.0
2025-01-15,284533,174282.0,292122,213138,59735,243520.0
2025-01-16,281162,172201.0,287989,213592,61021,240817.0
2025-01-17,282450,168894.0,283497,214706,61852,237350.0
2025-01-18,209623,106742.0,163172,143047,53169,169052.0
2025-01-19,184617,91664.0,144509,129010,49417,162672.0
2025-01-20,275583,168203.0,284103,210454,61575,235306.0
2025-01-21,286499,174741.0,296880,213945,60436,236929.0
2025-01-22,292304,176024.0,299737,216049,61243,240875.0
2025-01-23,286142,173652.0,294254,215772,61474,238053.0
2025-01-24,279584,167398.0,281200,214693,61790,228612.0
2025-01-25,205208,106819.0,165741,150521,54539,164578.0
2025-01-26,178270,89422.0,144681,132141,52761,152457.0
2025-01-27,247287,144246.0,246992,184606,60559,201354.0
2025-01-28,225941,131755.0,234046,176661,62646,192154.0
2025-01-29,205794,106054.0,195245,155474,75441,158736.0
2025-01-30,180906,91152.0,157908,130545,61052,144740.0
2025-01-31,197467,109465.0,184831,150392,57612,170281.0
2025-02-01,172303,86796.0,138597,137750,52757,145357.0
2025-02-02,157741,81061.0,129272,124982,45905,148789.0
2025-02-03,249888,153260.0,257597,195569,55957,222990.0
2025-02-04,269423,163068.0,281843,204350,57506,229731.0
2025-02-05,272721,165423.0,285795,205615,58448,230127.0
2025-02-06,273561,164802.0,285767,205056,58998,228961.0
2025-02-07,277984,168323.0,283409,210820,64394,229796.0
2025-02-08,212176,111256.0,187399,151911,59906,172144.0
2025-02-09,192519,96725.0,160726,141149,54431,170049.0
2025-02-10,278349,167638.0,281405,208441,62215,238796.0
2025-02-11,186156,96528.0,152504,127200,46687,168330.0
2025-02-12,293164,180433.0,307971,228225,62018,244705.0
2025-02-13,290065,176783.0,303574,217769,61774,242751.0
2025-02-14,296709,176140.0,298646,221124,66647,244686.0
2025-02-15,202338,107944.0,166202,188603,51742,169461.0
2025-02-16,174334,86484.0,142267,131794,46317,161030.0
2025-02-17,269953,169000.0,282648,213795,58108,246505.0
2025-02-18,285452,178303.0,303539,232156,59626,254058.0
2025-02-19,292352,181892.0,307313,223616,59812,256789.0
2025-02-20,289023,178571.0,301726,223185,61402,254519.0
2025-02-21,282638,174509.0,289580,220640,64475,248306.0
2025-02-22,205792,108841.0,170373,147805,59440,175428.0
2025-02-23,177568,91532.0,149424,134713,50227,164358.0
2025-02-24,272982,170853.0,287593,220881,60522,249536.0
2025-02-25,288166,178369.0,303996,221891,62582,253188.0
2025-02-26,292944,180403.0,307859,224522,62213,258599.0
2025-02-27,290119,174956.0,303152,220964,60832,252569.0
2025-02-28,292777,177707.0,299468,228126,65148,254793.0
2025-03-01,197196,103296.0,162128,152291,50793,176642.0
2025-03-02,137643,70149.0,116641,108614,35938,145213.0
2025-03-03,257731,164979.0,274757,209186,52959,239470.0
2025-03-04,270745,172132.0,293917,215561,56133,245327.0
2025-03-05,275332,174403.0,298071,216790,56676,246931.0
2025-03-06,270748,170716.0,294019,214727,56592,243490.0
2025-03-07,271278,170007.0,286686,217914,58917,242755.0
2025-03-08,172309,91459.0,146987,136018,43448,158983.0
2025-03-09,152291,78683.0,130383,123482,40372,155403.0
2025-03-10,265039,170657.0,284597,215293,56088,242680.0
2025-03-11,277662,175904.0,299687,220271,56856,245843.0
2025-03-12,280414,177283.0,302111,220890,57075,244884.0
2025-03-13,276691,175847.0,296453,218780,57132,246607.0
2025-03-14,277447,175154.0,288565,224709,58262,242528.0
2025-03-15,182211,99640.0,159203,152871,46520,162663.0
2025-03-16,155068,80854.0,131738,129348,42357,149014.0
2025-03-17,256877,160260.0,266872,207441,55778,235508.0
2025-03-18,163765,89354.0,142580,131185,38483,151225.0
2025-03-19,277456,176064.0,298777,219638,56787,249656.0
2025-03-20,275286,174086.0,296807,219719,56784,243903.0
2025-03-21,277808,172805.0,290029,224703,59951,245598.0
2025-03-22,183941,98478.0,158468,157746,48275,162603.0
2025-03-23,153513,78771.0,128594,130348,43641,147369.0
2025-03-24,265033,169586.0,283211,216856,55309,238652.0
2025-03-25,274943,173242.0,294321,221884,56098,245270.0
2025-03-26,278514,176056.0,295631,224121,56386,245836.0
2025-03-27,265150,165509.0,277986,216794,55191,240267.0
2025-03-28,254364,155319.0,252770,215045,58493,228430.0
2025-03-29,159988,86885.0,134753,139460,47300,157533.0
2025-03-30,156012,79787.0,127149,128761,54527,156027.0
2025-03-31,179850,98358.0,160592,125487,63542,136976.0
2025-04-01,168269,90730.0,144421,120820,58783,144954.0
2025-04-02,212071,120203.0,196889,153667,55285,181565.0
2025-04-03,220466,126232.0,206907,159454,52397,189694.0
2025-04-04,219150,124939.0,207683,159731,50295,184430.0
2025-04-05,166089,89289.0,138499,123961,41095,151558.0
2025-04-06,154872,84640.0,133382,119403,42329,155944.0
2025-04-07,261360,169133.0,272277,209011,54565,247348.0
2025-04-08,277035,177930.0,292750,215301,56016,253551.0
2025-04-09,280596,178142.0,293341,216843,55590,256365.0
2025-04-10,278640,177557.0,292542,217079,56618,257201.0
2025-04-11,281612,176381.0,284975,218680,60289,250268.0
2025-04-12,205322,110977.0,164455,152090,48874,179203.0
2025-04-13,178254,93997.0,146700,138284,47020,170487.0
2025-04-14,270188,174886.0,283577,213442,58917,254035.0
2025-04-15,284361,182487.0,305162,221006,59803,259351.0
2025-04-16,297325,190249.0,312761,229770,62982,268148.0
2025-04-17,286402,183255.0,301862,222820,61465,262155.0
2025-04-18,292061,178243.0,292847,222826,63559,269734.0
2025-04-19,222628,114255.0,175667,153268,52567,193224.0
2025-04-20,189380,96269.0,150513,135852,46891,186916.0
2025-04-21,267704,174874.0,285916,214644,58806,251319.0
2025-04-22,281540,181227.0,300380,219717,59187,258638.0
2025-04-23,283266,181923.0,298208,218590,58651,253301.0
2025-04-24,288069,181580.0,297763,219041,59267,256386.0
2025-04-25,283288,177074.0,292278,221078,62226,252963.0
2025-04-26,213635,116182.0,176135,175316,51168,177521.0
2025-04-27,174149,92017.0,144898,128766,45702,161832.0
2025-04-28,270239,174321.0,282024,214520,58492,251734.0
2025-04-29,281362,179351.0,299046,218225,58142,257734.0
2025-04-30,300441,186967.0,311493,228437,62445,267707.0
2025-05-01,210992,103983.0,158125,139832,51892,161818.0
2025-05-02,270423,163461.0,265022,207353,62407,238885.0
2025-05-03,208610,109069.0,167036,150575,53680,161617.0
2025-05-04,170459,88088.0,139676,132118,45313,155423.0
2025-05-05,273471,176203.0,283720,218783,59914,254964.0
2025-05-06,283674,181335.0,300131,222059,59605,257143.0
2025-05-07,287814,182112.0,302816,223517,60206,258246.0
2025-05-08,282756,179380.0,296488,219484,60569,257511.0
2025-05-09,286213,179011.0,289431,225336,62674,253136.0
2025-05-10,208034,114505.0,173349,192139,55656,174491.0
2025-05-11,204714,102084.0,160752,145098,58142,172726.0
2025-05-12,169019,91977.0,140568,128331,46499,154182.0
2025-05-13,276965,178660.0,291787,220529,59407,256143.0
2025-05-14,285447,182181.0,298657,222783,58814,258291.0
2025-05-15,281601,179019.0,294290,218574,59898,257174.0
2025-05-16,277822,174767.0,281246,217546,61306,248848.0
2025-05-17,194322,105344.0,156281,148074,49403,170884.0
2025-05-18,171899,89083.0,134966,123265,42852,158048.0
2025-05-19,265543,170700.0,277903,211621,57035,248881.0
2025-05-20,282952,180843.0,297661,221115,58811,256050.0
2025-05-21,291143,185715.0,303713,225754,60208,260903.0
2025-05-22,288983,183004.0,296006,224460,60620,258893.0
2025-05-23,292862,186499.0,289691,241346,65132,247412.0
2025-05-24,229583,126117.0,188541,191555,56059,173706.0
2025-05-25,185293,98331.0,150989,155888,46670,155754.0
2025-05-26,257353,165467.0,252576,211797,54785,239832.0
2025-05-27,264906,168035.0,262720,214400,56716,244656.0
2025-05-28,285851,181845.0,282321,270317,60401,248298.0
2025-05-29,302155,186252.0,304006,244905,62840,247482.0
2025-05-30,298133,181110.0,302365,247706,66455,243223.0
2025-05-31,234211,122276.0,188242,199745,59536,172695.0
2025-06-01,230351,117284.0,179404,185693,63271,166937.0
2025-06-02,191199,96152.0,144498,126401,48644,148881.0
2025-06-03,293277,179020.0,288984,216820,61195,238051.0
2025-06-04,303234,180381.0,296449,218953,60373,236528.0
2025-06-05,290340,175010.0,285038,215161,60136,234447.0
2025-06-06,261792,154033.0,240260,197827,59910,223218.0
2025-06-07,193812,102476.0,150741,136151,61041,161456.0
2025-06-08,189395,99157.0,145130,135915,54318,171913.0
2025-06-09,254561,158751.0,237301,196179,56409,224631.0
2025-06-10,283558,182123.0,287171,252132,58405,247775.0
2025-06-11,291704,184433.0,296277,223976,59653,257748.0
2025-06-12,285830,180446.0,289320,219157,58792,255045.0
2025-06-13,284476,176370.0,277369,217800,61824,247663.0
2025-06-14,204432,107322.0,160299,148285,51582,174731.0
2025-06-15,175913,91253.0,139076,132153,45601,163531.0
2025-06-16,274913,175505.0,277473,215238,57615,247848.0
2025-06-17,288101,183789.0,294656,221237,58409,257335.0
2025-06-18,293834,183750.0,296544,221978,59505,257899.0
2025-06-19,285673,179745.0,289771,217680,57890,256080.0
2025-06-20,284956,176674.0,277965,220118,62276,245905.0
2025-06-21,207168,110657.0,160517,157278,47895,173166.0
2025-06-22,178187,94310.0,141265,149515,45718,163397.0
2025-06-23,274163,177167.0,281495,213906,56785,253610.0
2025-06-24,285779,183329.0,296082,218889,56860,253779.0
2025-06-25,290399,183267.0,300362,220795,58354,261640.0
2025-06-26,291743,181453.0,297387,221297,59612,247608.0
2025-06-27,194648,100774.0,150529,131376,48208,160231.0
2025-06-28,203951,103424.0,162083,141403,55488,169619.0
2025-06-29,171002,88527.0,138694,124740,46777,159429.0
2025-06-30,268954,172586.0,273845,212414,57120,249032.0
2025-07-01,288585,184189.0,298681,222150,59794,241090.0
2025-07-02,292929,183480.0,302036,223299,59681,242126.0
2025-07-03,286703,182736.0,298877,222007,60904,242080.0
2025-07-04,290912,178389.0,291332,222107,64877,236265.0
2025-07-05,212603,110976.0,171882,149693,54788,163189.0
2025-07-06,183226,93409.0,147216,134579,52970,148045.0
2025-07-07,285689,183506.0,292336,221986,59805,240420.0
2025-07-08,296962,189132.0,308817,228014,62596,243597.0
2025-07-09,303175,191315.0,311399,229293,62005,247564.0
2025-07-10,298597,187659.0,306566,227122,62468,246635.0
2025-07-11,298946,183015.0,296461,228559,68484,239391.0
2025-07-12,217217,115389.0,179416,157374,57365,166355.0
2025-07-13,187551,97754.0,153544,139303,50750,153091.0
2025-07-14,285117,185120.0,293231,220343,60332,238714.0
2025-07-15,299244,192831.0,311634,227381,61337,247235.0
2025-07-16,305520,193473.0,313542,228324,61762,249063.0
2025-07-17,297156,188463.0,304802,224411,61091,244458.0
2025-07-18,297657,186157.0,297190,232094,67648,238601.0
2025-07-19,213950,115470.0,169018,160924,57668,157396.0
2025-07-20,178693,92956.0,143599,136108,49408,145109.0
2025-07-21,280588,181661.0,289758,219730,60066,239826.0
2025-07-22,290261,187072.0,302002,223872,60182,238318.0
2025-07-23,298075,191116.0,311409,227249,62702,247281.0
2025-07-24,295755,189367.0,309036,226674,62496,243377.0
2025-07-25,295292,187170.0,303201,228439,66537,238151.0
2025-07-26,212583,115689.0,185963,174696,54920,156180.0
2025-07-27,178143,90085.0,146739,131494,49152,140596.0
2025-07-28,277435,180114.0,287166,216294,61839,236090.0
2025-07-29,287640,183384.0,300777,220764,61292,240692.0
2025-07-30,295466,186972.0,307186,224223,62219,242958.0
2025-07-31,290916,182433.0,301414,221768,61542,239229.0
2025-08-01,291400,178566.0,295086,224995,65385,238954.0
2025-08-02,216047,111545.0,174831,155185,55627,161233.0
2025-08-03,186282,93757.0,149570,140376,51301,148312.0
2025-08-04,280041,180550.0,291599,220815,61723,236408.0
2025-08-05,297339,188587.0,313375,228302,63469,244384.0
2025-08-06,303063,192860.0,315200,231107,63888,245935.0
2025-08-07,298482,187434.0,311523,229949,64849,246380.0
2025-08-08,298882,182583.0,304869,230579,68622,238584.0
2025-08-09,222570,115047.0,183453,161110,59248,159027.0
2025-08-10,191154,97624.0,156323,143079,55533,150362.0
2025-08-11,290197,187683.0,298124,227198,65006,242499.0
2025-08-12,301131,194508.0,313864,231574,65031,244845.0
2025-08-13,305280,195257.0,317711,234026,64780,250391.0
2025-08-14,296253,189728.0,310138,228220,65607,238228.0
2025-08-15,299864,188873.0,302575,236250,68354,239098.0
2025-08-16,229033,118233.0,179423,163331,57209,160403.0
2025-08-17,189828,95500.0,149871,143260,52848,146916.0
2025-08-18,282153,180743.0,294249,222256,60169,242477.0
2025-08-19,295867,189840.0,310787,227785,62663,244437.0
2025-08-20,302446,191536.0,314664,230437,61917,249624.0
2025-08-21,290410,185110.0,305933,225511,61282,240160.0
2025-08-22,294419,184885.0,298371,232112,64708,237157.0
2025-08-23,220114,118332.0,173210,161738,51821,159146.0
2025-08-24,182500,96049.0,148618,145195,47075,142959.0
2025-08-25,282568,183336.0,291967,222327,60019,237914.0
2025-08-26,293911,188264.0,303887,226225,60709,244187.0
2025-08-27,295451,189510.0,307534,227024,60124,242859.0
2025-08-28,291679,186097.0,301116,224592,59648,233109.0
2025-08-29,294560,185130.0,294741,227900,62565,233872.0
2025-08-30,242057,134323.0,206196,177518,64771,166721.0
2025-08-31,236063,141093.0,177127,163868,66192,243220.0
2025-09-01,173532,91120.0,136334,123590,44882,134280.0
2025-09-02,280970,184088.0,292560,221172,57960,237253.0
2025-09-03,287976,186270.0,298834,222752,57851,239293.0
2025-09-04,293304,187599.0,301093,236328,60603,233814.0
2025-09-05,196656,102477.0,157325,137357,50714,159350.0
2025-09-06,203072,103677.0,154070,139337,50608,164190.0
2025-09-07,168499,89315.0,135055,126849,45146,153228.0
2025-09-08,280364,182747.0,286375,218944,56645,236861.0
2025-09-09,295291,190356.0,304164,226285,57465,241557.0
2025-09-10,298665,191250.0,307969,226766,57519,241420.0
2025-09-11,291716,186692.0,301812,226085,58157,237668.0
2025-09-12,287415,183427.0,289356,232658,61309,234462.0
2025-09-13,222694,118074.0,169814,159119,51508,150120.0
2025-09-14,211539,109702.0,160941,150123,62401,150298.0
2025-09-15,219663,115703.0,162054,140930,61584,136339.0
2025-09-16,188728,103683.0,144887,131435,49201,133078.0
2025-09-17,294289,181640.0,294225,217719,60027,222482.0
2025-09-18,295426,183632.0,296587,217539,60301,223008.0
2025-09-19,286752,176788.0,283308,212612,60219,217859.0
2025-09-20,203266,110892.0,174407,145668,49608,145740.0
2025-09-21,166076,88104.0,128084,123434,41658,135673.0
2025-09-22,276528,180590.0,284721,217704,54440,229795.0
2025-09-23,288690,180239.0,302287,222617,56780,237220.0
2025-09-24,292211,186069.0,305537,224543,56166,240584.0
2025-09-25,287722,186091.0,302035,223720,58379,239376.0
2025-09-26,287774,179254.0,291930,223056,62650,229992.0
2025-09-27,207324,111401.0,159919,148294,53706,151888.0
2025-09-28,173865,91322.0,138535,129909,46389,136404.0
2025-09-29,278409,177141.0,280914,215741,56746,227626.0
2025-09-30,291732,184585.0,298226,222353,56872,233880.0
