date,rail_mrt_kajang,rail_mrt_pjy,rail_lrt_kj,rail_lrt_ampang,rail_monorail,bus_rkl
2024-01-16,235086,138316.0,258528,165856,57168,222249.0
2024-01-17,239571,140181.0,261518,167244,57981,227029.0
2024-01-18,235011,137630.0,256519,165975,59204,222386.0
2024-01-19,239872,136987.0,250623,167326,59954,222875.0
2024-01-20,176577,86507.0,143735,112232,46208,157748.0
2024-01-21,153555,73060.0,122746,97180,42970,146405.0
2024-01-22,229585,134500.0,249564,163130,57633,217191.0
2024-01-23,245175,141930.0,271194,171129,59663,217982.0
2024-01-24,255701,150582.0,274327,175617,62053,231893.0
2024-01-25,160884,81255.0,131578,99739,41704,148247.0
2024-01-26,226106,127930.0,231260,157017,59550,204935.0
2024-01-27,170826,82374.0,138859,114892,47548,151488.0
2024-01-28,147205,69747.0,119092,96029,42535,141146.0
2024-01-29,232469,134653.0,248727,164224,59158,219255.0
2024-01-30,244641,140745.0,263233,168871,59925,218058.0
2024-01-31,255045,144011.0,268155,171748,63215,226222.0
2024-02-01,168370,81837.0,155342,110345,38708,176200.0
2024-02-02,236335,130610.0,243097,167247,59159,221002.0
2024-02-03,190133,90825.0,156792,123360,53502,162718.0
2024-02-04,161308,74441.0,130682,105648,46048,149429.0
2024-02-05,239347,136304.0,254947,172179,58095,222777.0
2024-02-06,250875,142849.0,269133,178800,59472,227198.0
2024-02-07,258635,144774.0,270568,181361,61496,231367.0
2024-02-08,236151,132386.0,242448,168826,58465,213077.0
2024-02-09,187491,106380.0,196128,145126,59148,185157.0
2024-02-10,183062,93213.0,169787,120724,68149,168032.0
2024-02-11,182602,90323.0,165241,127252,70687,164656.0
2024-02-12,161319,81617.0,130448,106837,50706,140134.0
2024-02-13,204475,114048.0,207234,140635,56343,188291.0
2024-02-14,224887,122304.0,228180,149656,56279,197412.0
2024-02-15,220617,123742.0,230530,152668,55506,200443.0
2024-02-16,212781,120165.0,221662,151510,55202,204067.0
2024-02-17,155676,78613.0,132749,115135,43440,143744.0
2024-02-18,142511,69311.0,119540,101449,40257,137113.0
2024-02-19,230066,134467.0,253215,172723,53312,209565.0
2024-02-20,243230,140065.0,269049,176499,54497,211946.0
2024-02-21,249306,138935.0,275475,180768,57684,215491.0
2024-02-22,247036,140300.0,269488,179822,56753,211269.0
2024-02-23,242257,138084.0,256988,182119,60272,209954.0
2024-02-24,183818,92784.0,159240,169623,50639,156990.0
2024-02-25,166944,79274.0,140301,117169,48376,146572.0
2024-02-26,235328,135950.0,258185,178115,56729,212055.0
2024-02-27,246509,142309.0,274435,182934,56226,216371.0
2024-02-28,253870,144796.0,279314,185713,57466,219487.0
2024-02-29,252901,143616.0,276409,186270,59795,216258.0
2024-03-01,249384,141862.0,268053,188995,62089,215583.0
2024-03-02,195237,96025.0,171995,139706,55338,165033.0
2024-03-03,175258,85758.0,152048,130402,54661,161176.0
2024-03-04,241113,139059.0,265134,186477,59523,219804.0
2024-03-05,257664,146540.0,282178,192409,60525,224527.0
2024-03-06,265735,150217.0,289291,196748,61041,225832.0
2024-03-07,259437,146254.0,285010,195279,60294,227707.0
2024-03-08,255508,143507.0,276187,198209,62877,225846.0
2024-03-09,194931,93320.0,171162,147949,54303,168978.0
2024-03-10,172713,80835.0,151129,131424,51903,168346.0
2024-03-11,247030,143402.0,269096,195586,59478,237735.0
2024-03-12,233981,141272.0,262745,183417,53876,221923.0
2024-03-13,241245,144886.0,270672,187531,53256,224017.0
2024-03-14,238180,143518.0,269152,187979,53163,223361.0
2024-03-15,236822,139821.0,254316,186992,52790,217129.0
2024-03-16,152241,77278.0,132485,117619,37208,146219.0
2024-03-17,134241,65252.0,114307,103038,35078,138622.0
2024-03-18,232543,142100.0,257175,185402,53048,222959.0
2024-03-19,239783,144945.0,270490,187656,52783,222250.0
2024-03-20,243689,147663.0,270583,189346,53653,225446.0
2024-03-21,239066,143833.0,268426,188363,52547,221817.0
2024-03-22,242789,145021.0,260941,193518,52855,223335.0
2024-03-23,159646,81114.0,144677,128138,38859,153237.0
2024-03-24,135024,66243.0,122018,109748,36805,145314.0
2024-03-25,232026,141473.0,258471,186459,53337,216733.0
2024-03-26,241644,146701.0,272008,200366,53002,219942.0
2024-03-27,251996,149236.0,278863,195860,55175,224826.0
2024-03-28,156908,79863.0,138478,123967,38093,137925.0
2024-03-29,227034,132224.0,241375,182922,53130,205205.0
2024-03-30,161181,80600.0,145586,136787,46335,139163.0
2024-03-31,136166,66271.0,123186,118616,40731,134772.0
2024-04-01,233202,141521.0,258673,190688,53052,213268.0
2024-04-02,243455,146047.0,272919,194353,53697,215764.0
2024-04-03,249738,149257.0,277684,198362,54983,219574.0
2024-04-04,242298,144201.0,270034,196235,53250,215235.0
2024-04-05,247541,146166.0,263195,205028,56445,214935.0
2024-04-06,158140,81865.0,142798,138273,45195,164270.0
2024-04-07,143661,68055.0,127142,125082,47574,146646.0
2024-04-08,198967,110727.0,203412,159953,51693,179624.0
2024-04-09,187967,101938.0,188202,152799,56915,175500.0
2024-04-10,186888,97003.0,180266,124942,61197,141775.0
2024-04-11,176012,88536.0,165380,119246,62956,145050.0
2024-04-12,177926,94392.0,170704,130820,53776,157759.0
2024-04-13,145964,72068.0,122924,104348,43188,134254.0
2024-04-14,130563,67136.0,116722,102134,37998,131917.0
2024-04-15,209368,128156.0,227652,172157,49334,207045.0
2024-04-16,227061,140859.0,248474,181350,51639,215083.0
2024-04-17,237109,145894.0,260804,187724,52924,214591.0
2024-04-18,233021,144008.0,260304,185814,52050,216693.0
2024-04-19,240513,143869.0,254263,189184,53788,214742.0
2024-04-20,172835,89429.0,145335,128980,42710,156487.0
2024-04-21,149974,74164.0,124892,113505,40789,149283.0
2024-04-22,232509,142827.0,256725,186110,53584,222967.0
2024-04-23,243451,148808.0,272842,191353,55248,226112.0
2024-04-24,248489,148782.0,274518,191429,55395,226961.0
2024-04-25,244874,146571.0,270387,189166,55801,223902.0
2024-04-26,251457,146185.0,262936,193453,56404,221708.0
2024-04-27,192673,94517.0,156561,143091,47139,156539.0
2024-04-28,162298,77668.0,133240,117225,43748,149248.0
2024-04-29,237795,143725.0,260006,187311,55840,222471.0
2024-04-30,256624,151140.0,276262,194819,58774,230072.0
2024-05-01,184437,87555.0,142909,119793,46327,145290.0
2024-05-02,250953,149260.0,274442,195431,54081,227861.0
2024-05-03,251683,147846.0,266068,197806,60125,222811.0
2024-05-04,186860,97466.0,162346,143552,49000,159686.0
2024-05-05,171318,84630.0,138060,123295,46306,152504.0
2024-05-06,240363,146060.0,262910,192678,57200,228581.0
2024-05-07,259675,151590.0,283428,198206,29351,231226.0
2024-05-08,267109,155057.0,288099,199795,28097,239656.0
2024-05-09,253896,150250.0,277288,197917,52071,231452.0
2024-05-10,257069,150331.0,271257,201590,56660,227982.0
2024-05-11,182758,91924.0,153531,135207,45689,158682.0
2024-05-12,166092,84088.0,139061,128056,47674,162251.0
2024-05-13,242010,147222.0,263810,195021,55298,227525.0
2024-05-14,253437,153466.0,277017,198047,54970,232091.0
2024-05-15,257037,152768.0,277887,197979,55196,233173.0
2024-05-16,253778,151399.0,275188,196937,55939,229909.0
2024-05-17,252606,149592.0,267692,200726,57113,230407.0
2024-05-18,187079,93718.0,153988,138417,47953,159508.0
2024-05-19,160492,78156.0,133420,123106,44665,154004.0
2024-05-20,241287,145344.0,258466,189554,52779,226418.0
2024-05-21,253671,152166.0,276190,196286,55237,230896.0
2024-05-22,168654,84808.0,137209,118052,41822,143333.0
2024-05-23,240933,145895.0,259669,192282,53432,222421.0
2024-05-24,250636,148879.0,264581,210072,57822,221956.0
2024-05-25,191869,100692.0,173761,169115,49453,154725.0
2024-05-26,171027,88095.0,150886,154341,48425,149333.0
2024-05-27,252244,147242.0,261486,209792,57351,215683.0
2024-05-28,261354,153482.0,279863,215276,59576,219320.0
2024-05-29,274188,157813.0,286982,224227,61219,217848.0
2024-05-30,266950,154809.0,281624,223563,61632,215267.0
2024-05-31,261386,143743.0,267879,221354,62698,210430.0
2024-06-01,209179,104973.0,175552,185932,55859,158625.0
2024-06-02,198291,94648.0,159489,162167,60246,150963.0
2024-06-03,161956,79465.0,127811,115327,44106,135779.0
2024-06-04,249198,148015.0,269312,196980,54798,224369.0
2024-06-05,251786,150154.0,271351,195988,55326,220701.0
2024-06-06,245986,148279.0,265179,194376,54470,218856.0
2024-06-07,251688,145658.0,260313,198250,58342,217241.0
2024-06-08,195106,96194.0,158833,144743,49750,157762.0
2024-06-09,170552,82792.0,144354,132320,49056,156926.0
2024-06-10,248543,147097.0,262844,197865,57746,224858.0
2024-06-11,258700,153481.0,278563,210343,57438,225984.0
2024-06-12,260430,154360.0,277640,202214,57629,227921.0
2024-06-13,256529,151551.0,273266,202468,56094,225857.0
2024-06-14,257088,150290.0,256356,203495,57857,221501.0
2024-06-15,185662,90604.0,144886,139011,50963,158054.0
2024-06-16,172583,80577.0,133785,125659,56223,152180.0
2024-06-17,159879,81141.0,138594,116649,52951,134395.0
2024-06-18,240978,135354.0,244971,185441,57587,200132.0
2024-06-19,253462,147188.0,264955,194749,53446,218818.0
